text,label,theme,sentiment,date,source,Facility
The nursing staff + therapists were absolutely amazing!  The facility + my room were very nice.  Everyone I dealt with was extremely professional + courteous.  My only complaint was room cleaning - I never felt the bathroom was cleaned properly which made me feel uneasy.  Overall this was a great experience and accomplished the goal of being self sufficient @ home.,3,"Staff, Facilities (Room), Cleanliness (Bathroom)",0,10/30/2024,Yelp,Kaiser Permanente
My mom was released from the hospital in 63 degree weather with a hospital gown and a blanket.  I have a video and pictures of my mom being wheeled out slumped over in the wheel chair with back exposed to the elements.  THe nurses wanted my mom out of the hospital and did not care about her condition.  She is 90 years old and was being treated for CHF & pneumonia.,4,"Emotional Support, Safety",-0.5,11/25/2024,X/Twitter,Kaiser Permanente
"When I woke up in the recovery area, there were 5 nurses & aides at the nurse station chatting loudly for hours about vacations & parties (only 2 patients in recovery area.  Not once did they check on me until I yelled at them then they went back to their obnoxious behavior  Is it too much to ask one of 5 nurses to do their job.  This department needs to be fixed!",4,Staff,-0.5,12/23/2024,Google,Kaiser Permanente
"I delivered my first child here and it was wonderful experience only sticking points were I felt pressured to have vaginal delivery after laboring for 45 hrs w/ no progress & afterwards, lactation consultants all had different opinions & didn't stay long enough.  They would get me situated & leave & then I would struggle again.  The L&D midwives were incredible!!!",3,"Emotional Support (Midwives), Communication (Lactation Consultants)",0,6/24/2025,X/Twitter,Kaiser Permanente
"My discharge did not go smoothly.  My physician wrote the orders and I was not discharged for 2 hours.  When my family asked what happened to the nurse, we were told she was at lunch for another 20 min and no one else could assist.  She also miscounted the # of pills (steroids) I needed so I was short 3 pills.  Other then the discharge process, I was very pleased.",3,Discharge Process,0,5/5/2025,Google,Kaiser Permanente
"1 Per my MRI results - not clear/ it was taken poorly because of patients movement.  However, per technician instruction, said it was somewhat ok if I can't keep still during the scan.  2 One phlebotomist (Female) uttered ""curse"" word (""shit"") probably out of frustration but not directly to me.  It was somewhat an expression, she was unprofessional in that aspect.",4,Emotional Support (and Professionalism - which I added for clarity),-0.5,5/6/2025,Google,Kaiser Permanente
"The only negative experience was the ~12 hours I was in the emergency room (I fell & broke my hip) mostly on a gurney until they got me a hospital bed.  I was very uncomfortable & in a lot of pain.  From the time I got up to my room in 5E ortho everything was fabulous!  I can't thank the nurses in 5E ortho enough.  They were kind, professional, thorough & gentle.",3,"Wait Time, Pain Management, Bedside Manners",0,11/11/2024,Yelp,Kaiser Permanente
Nurses didn't come in my room for over three hours when I needed to use the bedpan - too late.  I was calling my son about this when the nurses were told I was calling family.  12:00 AM they came finally!  My doctor release me on Friday.  Hospital dr. wouldn't until Monday.  He also wouldn't consult my group at U.C.S.F about medicine he told me he was in charge.,4,"Emotional Support, Staff, Communication",-0.5,4/7/2025,Google,Kaiser Permanente
My hospital experience was fine except for nurse Peter 1. Refused to give me pain meds after surgery 2.  Asked me to call in prescription for medication.  3.  Failed no call in pain medication.  Resulted in no pain meds for 18 hrs after surgery.  4.  Made me carry luggage after disc surgery.  Honestly - I thought he was going to kill me.  He is a horrible nurse.,3,"Emotional Support, Pain Management",0,12/5/2024,X/Twitter,Kaiser Permanente
"To all the doctors, to all the nurses, to all the staff, I thank you for being strong for being  courageous, for being loving, in the mist of this pandemic crisis putting your life on the front line to help save hours, God love you, I love you, I am praying with you I praying for you I encourage you to stay strong stay safe a better day is coming.  So very much.",1,Emotional Support,0.5,8/4/2024,X/Twitter,Kaiser Permanente
Please continue to hire courtesy and compassionate staff it makes the difference in having a great experience and please update the breastfeed video w/current & someone that recently gave birth to give a more realistic expectation of the real amount of colosterum you'll be able to hand express.  If have more questions on my response call Nicole Beck 719-465-4273,3,"Emotional Support, Education (Other)",0,4/5/2025,Google,Kaiser Permanente
"The only negative experience was while I was in the telemetry unit, a male/Filipino phlebotomist who came to draw blood ""ripped"" the bandage tape off my arm so fast, it was painful and it removed a small thin layer of skin.  I informed a nurse who brought me a cold compress.  This male phlebotomist needs to have more finesse and be gentler in thin-skinned area.",4,Bedside Manners,-0.5,8/14/2024,Yelp,Kaiser Permanente
(1)  I was not given my daily meds while I was in the hospital.  Despite the fact that I asked for them & without them my vomiting increased.  (2)  I was discharged over the objection of my PCP & ended up having to go back to the hospital 3 hours after my discharge.  I went to John Muir & received excellent care twice.  I hope never to the return to Alta Bates.,4,"Medication, Communication (with staff about medication)",-0.5,10/5/2024,Yelp,Kaiser Permanente
This was the best hospital I have ever been in - all the staff was friendly and knowledgeable - my nurses Dan and Billie were so kind to me and so efficient.  I was on the cardiac ward #162 and felt like i was on a vacation at the Ritz Carlton the view helped calm me down.  Dr. Chois surgeon & team treated me so well - you run a great place - great cardio team!,0,Staff,1,6/13/2025,X/Twitter,Kaiser Permanente
Because I was alone and no family members allowed in room with me.  It was very difficult to follow my care & needs.  Poor communication & understanding of what was going to happen to me.  Family should have been contacted when discharge planning was determined.  I thought I was being sent to a nursing home.  My family assured me that they were taking me home.,4,"Emotional Support, Communication",-0.5,5/2/2025,Google,Kaiser Permanente
"Nurse Linda was cold and unkind to me during my stay.  I was afraid of her, she did not respond to my needs in a timely manner, was often sarcastic or belittling toward me and did not seem to care.  Hours after having had surgery she demanded I answer intake questions when I was in pain and disoriented, this was only the beginning of her inappropriate conduct.",4,Staff (Bedside Manners),-0.5,5/20/2025,Yelp,Kaiser Permanente
"My night nurse was excellent and took great care of me.  The morning nurse moved the table away so I didn't have a call button, told me taht she would be back to help me with discharge in 30 min and I waited almost 90, until my husband found her.  I've had 4 surgeries at this hospital but this time the quality of care was uneven.  It was excellent in the past.",3,"Bedside Manners, Wait Time (Other)",0,11/23/2024,Yelp,Kaiser Permanente
"Lena the nurse who helped me the first night I was there, was very disrespectful to me.  She touched the money in my purse and refused to change her gloves when I had asked her to, she also was supposed to show the doctor 2 of my medicine cream but never showed her or returned them to me.  (I don't know if her name was Lena or Ellena but she was asian/chinese)",4,Staff,-0.5,5/6/2025,Yelp,Kaiser Permanente
The nurse who cared for me in the ICU  - 24 hrs was outstanding  -The other nurses were kind in general + patient + attentive  -Nurse assistant was kind at first but (unreadable) the end of my stay turned (unreadable) - I felt in danger on my last night  -Blood blister to my legs were let unattached  (unreadable) (unreadable) causing (unreadable) (unreadable),3,"Staff (specifically, the theme revolves around the quality of care provided by individual healthcare professionals in this case.)",0,9/21/2024,Google,Kaiser Permanente
Nurse Cali was fantastic! She was with me from admit to delivery = was patient + calmed me + always cheerful - esp. since I was so nervous to be induced + knew my history with big babies + he manages she didn't make me feel bad when my water kept going all over the room either. Dr. Lambourant + Cali were encouraging for me to deliver in 1 push too. Thank you.,1,Staff (Nurse Cali and Dr. Lambourant),0.5,3/18/2025,X/Twitter,Kaiser Permanente
I was very impressed by the staff on the 9th fl who took care of me.  The staff in the ER was incredible!  I was very Ill & the person at the front desk got me to see the triage nurses immediately (less than 5 min wait) & same with triage nurse - less than 5 min wait to be put in a room.  The professor & the 2 residents were very kind & were very professional,1,Staff,0.5,3/23/2025,Yelp,Kaiser Permanente
Correction: letter says I visited Butter Medical 3/8/20 - I was discharged 3/8/20 (3/3-3/8).   #12 - medicine:  Can't remember name  #16 - no follow up  I would have liked for staff to inform me that I was going to be admitted instead of having to ask so family member can go home (I was aware of no available beds) instead of family waiting in ER waiting room.,4,"Medication, Communication",-0.5,7/6/2024,Google,Kaiser Permanente
I was misdiagnosed!!  Dr. kept arguing with me & insisting I was having a migraine HA.  The more I told her it wasn't the more she insisted.  Turned out it was a problem with my 6th optic nerve in my brain!!  I left with no d/c instructions & she refused to give me a Rx for pain med.  Maybe the Dr. should listen to that pt especially when the pt is a NURSE!!!,4,Emotional Support,-0.5,7/24/2024,X/Twitter,Kaiser Permanente
"It was minimal, the didn't treat me for the HRM, hand, ankle & foot lesions I sustained due to me falling.  The staff never offered to check dr care for these wounds, nor did they offer to bath me or give me anything to wash up.  I laid in bed w/o any addition case or attention for 5 days.  THe visiting nurse who attended to me after was shocked by my wounds.",4,Emotional Support / Care,-0.5,4/16/2025,Google,Kaiser Permanente
"Overall, the care was good.  But it shouldn't have taken so many extra hours to accomplish what could have been done in a more timely manner. e.g. it took 3 -4 hours just to get a doctor to release me, after all else had been done.  (Finally a nurse came in and needed only 15 minutes before sending me on my way.  by then, rush hour on I80 was in full swing).",3,Wait Time,0,12/31/2024,X/Twitter,Kaiser Permanente
"My 1st 2 days in hospital I felt I was cared for greatly.  But my 3rd day was terrible!  I had no help from nurses, and was in great deal of pain.  I cried fr several hours due to pain and how I was being treated.  I voluntarily left the hospital before dr. released me.  After leaving hospital, I did not even get my pain med approved by dr. til 3 days later.",3,"Emotional Support, Pain Management",0,1/26/2025,Yelp,Kaiser Permanente
"From the very start I felt that I was in great hands under the care of Dr. Elias Kiwan and all the staff in the oncology and BMT unit - the nurses and aides, the EVS and dietary folks, religious and social services, music therapy - everyone is so compassionate and caring which helped tremendously in my healing process.  Thank you so much all for what you do.",0,Emotional Support,1,10/24/2024,Yelp,Kaiser Permanente
"The nurses & CNA's were terrific.  The cleaning staff I encountered were wonderful.  The ?'s left unanswered were because my mama could not remember, she was totally confused the whole time there.  She had to be restrained at night which broke my heart.  Because of covid, no one could be with her.  This form was completed by Lenora's daughter, Tina Shaffer.",3,Emotional Support,0,3/29/2025,Google,Kaiser Permanente
"The staff was very professional, helpful, empathetic, and accommodating  I felt cared for at all times, by all staff, in a very personable manner.  Other floor cleaning needs more attention, linens were substandard and sheets were frayed with some holes!  Raise toilet seat in bathroom for hip replacement patients.  IT is too low.. preferred commode instead.",3,"Emotional Support (Staff), Cleanliness (Other floor cleaning, Linens)",0,1/15/2025,Yelp,Kaiser Permanente
"Did not get pain meds when I needed them.  I had to buzz 3 times for them  Had a person in the hall that talked loud at night & one day too.  When time to go home pain meds were due in 15 mins & she had to wait till then so I left with a lot of pain.  Was crazy time trying to get checked out.  ""I think they needed more help"".  Was always late on pain meds.",4,Pain Management,-0.5,12/29/2024,Google,Kaiser Permanente
The nurse I had on the first day - her name was Laura was very rude - she came in with another nurse & started looking under my arms - the cheeks of my bottom - like a strip search without any explanation -  I asked if that was necessary & either answered the questions I answered -  Usually - is why because of Laura  The rest of the nurses were outstanding,3,"Staff (specifically, Bedside Manners)",0,4/27/2025,X/Twitter,Kaiser Permanente
"1 Jan 18, 2020 first time went to ER for inguinal hernial.  Waited at 11 am admitted 5 pm.  ER doctor said to massage hernia back into place, but I had ot return to ER Jan 20, 2020.  I wish they had done CT scan first time to determine seriousness.  2 Surgery scheduled for Jan 21, 2020 but got delayed until Jan 22, 2020 without notification or explanation.",4,Wait Time,-0.5,10/19/2024,Yelp,Kaiser Permanente
"The visit to the E.R. was horrible  Left in hallway for hours, bleeding arms unattended for over 6 hrs.  No fluids given - dehydrated and in septic shock by 6 1/2 hrs when admitted to critical ICU.  In ER 2x in hrs than 12 hrs 1st time no blood test and INR at 7.2  Could have prevented problems had that been done.  On warfarin at time and nearly bleed out.",4,Safety,-0.5,12/22/2024,X/Twitter,Kaiser Permanente
"1.  There was always staff around 2.  But lack of basic nursing care  3.  Never had a full bath  4.  Had to ask to have hair washed  5.  screaming patient down the hall, never offered ear plugs/door closed/soft music 6.  never offered to video chat with family  7.  had a hard time getting staff to order meals, was told to hve family member call (from home)",4,"Emotional Support, Cleanliness, Bedside Manners, Communication",-0.5,7/20/2024,Yelp,Kaiser Permanente
The staff worked hard but had a language barrier the beds were very uncomfortable the sanitization was very poor sticky - I had to ask for clean wet cloths before entering the food was only fair very noisy at night kids in the (unreadable) loud vehicles. Very poor place for some with back problems - I never did use a bathroom - I did my toilet time in bed.,3,"Cleanliness, Bedside Manners, Facilities, Emotional Support (Other)",0,9/18/2024,X/Twitter,Kaiser Permanente
I wish nurse should check on patient at least (unreadable) & explain things what's next step.  Housekeeper did clean room for 2 wks.  Nobody help me to get up & walk.  Everybody almost say same thing you are lucky you have wife who is RN & will take good care of you.  Never explain how to empty my leg bag.  Without my wife I would have lost & lost my life.,4,"Emotional Support, Communication",-0.5,5/27/2025,X/Twitter,Kaiser Permanente
Re: Q 17 - The post op paperwork is not detailed enough.  PLease list examples what things I can/cannot do for myself and for how long.  I was offered the flu shot during my stay & I declined.  THis is not something that should be asked to someone on list of drugs w/o an advocate there.  It also doesn't seem appropriate after major surgery like a drop flap,4,"Emotional Support, Communication",-0.5,4/20/2025,X/Twitter,Kaiser Permanente
When I was in emergency overflow there was a male nurse that was so rude to me.  He made me cray  He never introduced himself if I asked him to get me a blanket please.  I was cold I had a bunch of wires on me I asked him to help me he said that's what I have hands for his job was to give me my medicine only I complained to the supervisor and sent a email,4,"Staff (specifically, Bedside Manners)",-0.5,8/19/2024,X/Twitter,Kaiser Permanente
#31-33  I answered usually because the MRI technician  made an error and injected (dye) into arm tissue instead of vein.  My arm became very swollen & painful for several  ours.  I had to replace MRI  However!!  The head nurse came twice to apologize and to be sure I had ice & Tylenol to reduce swelling & pain - she as exceptionally empathetic and caring.,3,Emotional Support,0,7/25/2024,X/Twitter,Kaiser Permanente
"Yes!  I am a retired RN & therefore a relatively qualified judge!  These nurses/doctors & even the phlebotomists were wonderful!  Despite my profession, they explained everything, NG tube/ABG drawn  They were skilled & so capable.  I love the quality of care there & no I have never worked there so my evaluation is definitely objective!  Thanks for asking!",1,"Staff (excellent evaluation of nursing, doctors, and phlebotomists)",0.5,5/9/2025,Google,Kaiser Permanente
"I am blown away by the professionalism, friendliness & communications provided by every single staff member of CRMC we interacted with.  I had the best experience from admission to discharge.  Huge thanks to the L&D nurses, NICU nurses & doctors & everyone we may forget.  Felt extremely safe in the hands of these doctors and nurses and during covid times.",1,"Emotional Support, Staff",0.5,11/7/2024,Google,Kaiser Permanente
"The night nurse was Nick.  He worked so hard to find a comfortable position for me in bed.  And he succeeded.  He also a great nurse too.  One of the nurses on a daytime shift was Monica  I could not even ask for any nurse that could do better and also another nurse, Sherri, was one excellent nurse too.  But all in all on most of the staff were excellent!",1,Staff,0.5,2/28/2025,Google,Kaiser Permanente
"The most important thing was that the nurses, except for one, were kind and sympathetic.  Kindness + good social skills is the main thing I care about, so most of the nurses were great, and knowledgeable too!  I had great that way!The nurse or whoever who checked me out at the hospital didn't know my case, so made a few mistakes on my take home documents.",3,Emotional Support (or Other),0,5/14/2025,Yelp,Kaiser Permanente
"I was on the phone with my caregivers from home, when I got sick & threw up - so I pressed the call button for a nurse - but to not get a response for the rest of our phone call (est time was 8 min nose) then there she called the hospital & asked the floor nurses station to please bring me crackers & some ginger ale that took 3 hours more.  So thank you.",4,Wait Time,-0.5,11/17/2024,X/Twitter,Kaiser Permanente
When I arrived I needed a Covid test and was sent across the street to some white tents.  After taking the test - I went back to the hospital and ad to take another - complete misunderstanding on their part.  I wasn't happy about that - P.S. the one across the street told me after the test it would take 3 days - my procedure in the hospital was that day.,4,Other (Miscellaneous: Testing Process),-0.5,10/30/2024,Yelp,Kaiser Permanente
"1. In 3 days each shift was a whole new set of people.  No continuity.  2.  NOise at night  -  11 PM shift change LOUD!!  For about an hour, then rounds to introduce them!  Couldn't get to sleep until after midnight.  Really bad for recovering sick people, who need to heal.  3.  One night, patient in next door room on phone nearly all night, really loud.",4,"Emotional Support (Continuity), Facilities (Noise at Night)",-0.5,1/17/2025,Google,Kaiser Permanente
One very big problem for me when told my foot would probably be amputated was the fact that no provision was made for my wife to come be with me due to Covid 19.  I faced this threat alone for 3 days without her.  Then after leaving the hospital I was notified that I had been exposed to Covid 19 while there anyway.  That was extreme to keep my wife away.,4,"Emotional Support (or Other, as it involves both emotional support and safety concerns related to Covid-19)",-0.5,3/18/2025,Google,Kaiser Permanente
"While the medical care was excellent, the provided meals & snacks made management of my gestational diabetes very challenging, even on the diabetic diet.  I routinely had to edit the foods given to me.  Often with help from my nurses, and ended losing weight (counter-indicated for pregnancy).  I would be happy to be contacted to provide specific details.",3,Food,0,1/20/2025,Google,Kaiser Permanente
pre op preparation helped a lot.  I was admitted post op following a gastric sleeve.  Pre-op Dr. Josgert provided a large binder with all the information I would need to understand medications what to expect how to eat etc.  This helped when I had a question I could look it up.  All staff was wonderful courteous and respectful.  I had a great experience!,0,Preparation,1,1/30/2025,X/Twitter,Kaiser Permanente
"Very good care after knee replacement.  However, one day of discharge, put into plastic recliner chair to wait 2 hrs for P.T. signature.  It was warm in room, my bare leg stuck to plastic chair.  When I stood up to transfer to a wheelchair I peeled off a patch of skin on my calf.  Blood ran down my leg.  the wound hasn't completely healed after 6 weeks.",3,"Emotional Support, Cleanliness, Pain Management",0,6/20/2025,Yelp,Kaiser Permanente
I had a terrible experience in LA at hospital I went to be treated  -  I was there for 6 hours  -  I did feel better but I left to drive to Los Banos and came to Memorial Hospital where I knew I would better taken care of.  I was taken care of and I am now cured of everything.  I made a excellent choice.  Thank you Memorial Hospital and wonderful staff!,3,"Emotional Support, Staff",0,3/23/2025,Google,Kaiser Permanente
What happened to the good food  It was DISGUSTING.  I could have well eating cardboard!  The entire hospital has gone downhill.  Not excellent hospital I remember fro 8 years ago.  And please rethink the blanket order to use bed/chair alarms to force perfectly stable patients to stay in bed.  I wet the bed 3x waiting for a nurse to answer my call bell.,4,Food,-0.5,11/7/2024,Yelp,Kaiser Permanente
"I entered the hospital because of personal neglect, during my stay the upmost attention was provided to me by all staff and I learned a lot. The STAFF SAVED my foot/leg (life) I am indebted forever to all medical personal for their utmost service and dedication. I feel without a doubt that if I received this service, they treat all the same. Thank you.",1,Staff,0.5,6/2/2025,X/Twitter,Kaiser Permanente
I told everyone & everyone knew I had an allergy to alcohol 1/2 the staff that worked on my right arm understood but those who worked on my left arm didn't give a shit I smelled alcohol the nurse told me I didn't & put alcohol on my left arm which broke me out caused a rash & severe asthma.  It took me 3 days & several meds to get it covered and breath,3,"Emotional Support, Cleanliness (implied), Safety, Pain Management, Allergy/Medication",0,12/26/2024,Yelp,Kaiser Permanente
Nurse in emergency did not care did not come when asked doctors director was to call if I had another chest pain.  Asked for nurse he did not come.  Eight days at home after I was released.  I received a call from Sutter Health.  They informed me that a nurse that treated me for three days had covid.  i went and got a test that afternoon.  It was neg!,4,Safety,-0.5,3/25/2025,Yelp,Kaiser Permanente
"The stay at the hospital was 100% unplanned as was my diagnosis.  Everyone at the hospital did a fantastic job reducing our anxiety + fear my wife + family had.  I actually got emotional saying goodbye to some of the staff that cared for me daily.  I can't think of repeating what I've gone through but if needed, we'll return to this hospital.  Thanks!",1,Emotional Support,0.5,6/1/2025,Yelp,Kaiser Permanente
"1) I wish this survery arrived sooner because I forgot the name of the nurse I wanted to commend.  2) I wish someone had explained how important it was to take meds to poop.  Before I left, everyone asked but didn't push or explain when I said I don't have problems with that.  I had no idea what a nightmare I would have at home, it won't happen again!",3,"Emotional Support, Medication",0,1/29/2025,Google,Kaiser Permanente
Everyone treated me with care and explained why they were taking test and the length of time it would take to get developed.  I was  hospitalized and had to use a commode.  When I rang for help they always come right away and had a smile for me.  The person that transported me to my room said he was giving me a room with a beautiful view.  And it was.,0,"Emotional Support, Bedside Manners, Communication",1,2/9/2025,X/Twitter,Kaiser Permanente
It was one of the worse hospital stays.  I felt some of the care staff just didn't want to be there and took it out on patients.  Also in one of the rooms the heater wasn't working and then in the second room they moved me to the roommate was mental and yelled ALL the time and prevent me from sleeping and generally stressed me out.  And no one cared!,4,Staff (Terse: Care),-0.5,6/9/2025,X/Twitter,Kaiser Permanente
"1. When ask about overall health, I am a transplant recipient (kidney)  2.  The ICU doctors were very good and caring  3. I want to recognize two nurses in the ICU day shift nurse Bobby and noc shift nurse Daniel.  They were the nurses upon admission.  I was I was so sick and scared + they were just perfect, knowledgeable and very good at there jobs.",1,"Emotional Support, Staff",0.5,9/13/2024,Yelp,Kaiser Permanente
It was a great stay and the hospital and staff are amazing.  My only issue was that the medical staff did not always knock before entering.  I also was very uncomfortable having the photographer just walking into my room.  He is not a part of the medical staff and should not be allowed in without asking first.  I was partially undressed at the time.,3,"Emotional Support, Privacy",0,8/14/2024,X/Twitter,Kaiser Permanente
"Yes, I really like Sutter Davis Hospital & the staff.  Except I felt like I was not getting full support when I asked for assistance with my baby who would not stop crying.  I figured out he was hungry & my milk (breast) was not enough I was not offered the option to bottle feed him, which I believe would have been great for him since he was hungry.",3,Emotional Support,0,2/12/2025,Google,Kaiser Permanente
"Yes!  On June 17 - 2020 I was operated on my knee.  5th floor room 5100 I have to say that all staff  AM Russel RN, Nate CNA, Sarbject CNA  PM Cheryl RN, Jeanette, Noc and Ann CNA  Amy Bessler BSN RN Clinical Director.  My Dr. Pottorff and staff.  Dr. Starla Sills anesthesiology are the best  Thanks to all.  George - 510-414-7607  PS  Love the food.",1,Staff (Including specific mentions of individual staff members),0.5,8/28/2024,Google,Kaiser Permanente
"During my c-section I heard the doctor's talking about their weekend plans.  It was incredibly rude, unprofessional and made me feel like a number/body not a human going through a major surgery.  Also it took hours for the doctor to see me one in labor.  I was neglected and felt I did not get the best care by her.  The nurses were excellent though.",3,"Staff, Emotional Support",0,3/27/2025,X/Twitter,Kaiser Permanente
"The care of ICU at Davies is spectacular.  Nurses help one another in a timely manner.  The regular unit is the complete opposite.  My nurse seemed to have a lot going on.  I had to remind her about my nausea medication, call button - time they came in the room ~ 30 mins.  Discharge was a joke , no one helped.  I dressed myself.  Needs improvement.",3,"Emotional Support, Wait Time (in regards to medication)",0,11/9/2024,X/Twitter,Kaiser Permanente
"MD was rough, impatient, verbalized (to the staff) readiness to perform procedure if no result in the next few minutes no attempt to let patient agreement no explanation for risks and benefits.  Patient thank her and admitted to give her more time to resolve on her own.  Thanks to nurse that prayed with it and encouraged me intervention was needed.",3,"Emotional Support, Bedside Manners",0,6/18/2025,Google,Kaiser Permanente
"All the nursing were amazing except one on day shift.  She did not want to help me in anyway.  She was rude and wouldn't help me change or get to bathroom.  I spilled water + she threw my blanket on the floor to cover it.  The rest of staff was exceptional, especially night nurse Cindy she went above+ beyond.  The food and room were also excellent.",3,Staff (for both positive and negative aspects),0,3/30/2025,Google,Kaiser Permanente
1. No directions given ahead of time on where to go for admission or discharge. 2. Carts being pushed up and down the hall day + night. Very loud! 3. Nurses coming in room several times at night. Flip on bright light without warning. Usually 3 or 4 of them. Talking loudly among themselves. No flashlights or warning. No respect for patient at night!,4,"Other (Unspecified category: ""Environmental Disturbances and Night Care"")",-0.5,8/19/2024,Yelp,Kaiser Permanente
1.  Only one person could draw blood.  2.  4 tried for IV.  3.  Put walker + urinal up against the wall - had to pee in a water cup.   4.  Nobody looked at my feet compression socks to tight left welts in my feet (too small)  5.  Nobody turned me over to look at my back that had blisters from allergic reaction tape.  6.  Got urinary trac infection.,4,"Safety, Care Quality",-0.5,9/27/2024,Google,Kaiser Permanente
"Overall, (L & D) we had good care under the circumstances (Covid).  However, I was in triage for way beyond my comfort level because nurses were understaffed.  My partner was unable to get food because of restrictions on leaving the hospital, but was not provided any food during our stay.  Finally, the floors & bathroom of our room were very dirty.",3,"Staff (understaffed), Cleanliness (Floors and Bathroom)",0,3/21/2025,X/Twitter,Kaiser Permanente
"The pre op & recovery nurses were wonderful. The nurses while in my room could have helped a bit more with getting in & out of bed & with dressing to go home, since no family members are being allowed at this time. I was literally handed my bag of clothes & she walked out. I couldn't bend over or move well after surgery, help would have been great.",3,"Staff, Bedside Manners, Emotional Support",0,6/16/2025,Yelp,Kaiser Permanente
"The pre op & recovery nurses were wonderful. The nurses while in my room could have helped a bit more with getting in & out of bed & with dressing to go home, since no family members are being allowed at this time. I was literally handed my bag of clothes & she walked out. I couldn't bend over or move well after surgery, help would have been great.",3,"Staff, Bedside Manners",0,11/7/2024,Google,Kaiser Permanente
I am truly grateful for the care & treatments I received at Sutter Med Center/From the ER staff & Dr. Moser and the entire cardiac ICU staff & lab & RT staff. Most especially the encouragement & clarification & patience of Dr. John Howard. I feel I survived covid because of Dr. Howard and the exceptional treatment at Sutter MC. Thank you very much!,1,"Staff, Emotional Support, Care",0.5,9/4/2024,Yelp,Kaiser Permanente
Great ER & ICU - Dr. Duncan and staff done great job finding my problem - found water in lungs and blood clots in lungs.  Put me on drugs right away - Curry Gen did not fix water & clots on lungs - ER & ICU were great - hospital sector bad or no service due to cutbacks - overall - still alive - thank you Dr. Schartz was great to examine all to me!,3,"Staff, Care (includes Dr. Duncan)",0,10/29/2024,Google,Kaiser Permanente
"Loki was in the NICU and most if not all of the nurses were rude and disrespectful at some point or another.  I also got ignored almost every time by the neonatologists, and when I asked questions I would not get an answer I'd et ""I don't know!!"" I did not like the fact I had to make decisions on my child's health based of a lot of ""I don't knows""",4,Staff (specifically Nurses and Neonatologists),-0.5,8/5/2024,X/Twitter,Kaiser Permanente
"All hospital personnel, to include doctors, nurses, clerks, and even parking attendants, professionally treated as well as a patient. Even at this time, whenever I have doctor's appointment/conferences, blood tests, covid-19 tests, cardiogram test, and even lastly, endoscopy procedure, same treatment and professional care were all provided to me.",0,Staff,1,4/9/2025,Yelp,Kaiser Permanente
Thank you Dr. Irene Y Chin  The doctors treating me during this visit listen to my concerns and managed my pain well without having any issues while other providers would have treated me different and not manage my pain and just stereotype people like me with chronic pain.  I have legal documents proving my pain caused by defective medical device,1,"Emotional Support, Pain Management",0.5,12/14/2024,X/Twitter,Kaiser Permanente
The nurse came in told me to call my ride home.  Would be approx one hour - no one helped me get dressed - that was hard.  My oxygen level was 83 when I got home.  Had to use my wife's oxygen took about 2 hours to get it where it was 95 - no one told me percent would cause my oxygen to go down.  Didn't take any after I got home.  Oxygen was good!,4,"Emotional Support, Safety, Pain Management",-0.5,8/17/2024,Google,Kaiser Permanente
"Instructions were shouted in my face such as ""don't move.""  No explanation of why or what was happening.  I was handled roughly.  Covered with bruises the next day.  A loud raucous party was happening in the ICU all Saturday night long.  Sounds of inebriated people screaming and laughing.  I never received my proper daily prescription medication.",4,"Safety, Bedside Manners",-0.5,10/31/2024,Google,Kaiser Permanente
"During the overnight stay, my night nurse was not attentive at all. I hit my call button 3 times before I got a response and that was just over intercom.  The doc wanted me to stay another night but I asked to go home early  I did not now my nurses name until a CNA came and went on a hunt to find out who my nurse was. Name never written on board.",4,Staff (Bedside Manners),-0.5,7/6/2024,Yelp,Kaiser Permanente
Your emergency department was awesome. Your ICU nurse staff are awful. Being a Kaiser patient and being transferred there was such a relief.  The care is so much better.  Maybe you should look into getting better nurses and drs who have better bedside manners.  Being at your hospital set me back both because of lack of understanding my situation.,3,Staff (Bedside Manners),0,6/6/2025,Google,Kaiser Permanente
Would like to say thank you tall the nurses who were assigned to me in the labor & delivery room.  I cannot remember everyone's name so many but RN Stacy; Jen Somaz.  Again cannot remember everyone but they all are amazing.  So friendly and helpful.  Thank you for all you do and putting your life on the line coming to ask to help us new mommy's.,0,Staff,1,10/8/2024,Yelp,Kaiser Permanente
"Our L+D nurse Jennifer Genovese (night shift) + post partum nurse Cindy (day shift) were amazing, in addition to the other amazing staff.  They truly went above + beyond to make our experience a beautiful one when welcoming our son.  My aunt has been a ped's oncology nurse with Sutter for >20+ years, + we are so happy the care we received there!",0,Staff,1,4/13/2025,Yelp,Kaiser Permanente
My experience in the ER was very bad.  There was a long wait.  Eventually I was put in a small room for a COVID test.  When the physician came out to talk to me everyone else in the room could hear my diagnosis plus my past medical history.  They came out and told the pt. next to me she tested positive for COVID.  Everyone's eyes went wide open.,4,"Emotional Support, Privacy (Other)",-0.5,11/19/2024,X/Twitter,Kaiser Permanente
"The kindness & care by doctors, nurses, therapists, everyone was absolutely ""over the top""!!!  I was meant to feel like I was the most important person there!  There aren't enough words to express my thankfulness and gratitude to absolutely ""everyone""!!!  I can never repay all of you for everything!!  Mark E. Keller  PS.  I was primarily in ICU.",0,Emotional Support,1,10/4/2024,X/Twitter,Kaiser Permanente
